,scale,n,m,L,sigu_err,sigv_err,alp_err,beta_err
0,2.0,5000.0,100.0,5.0,0.27866033255335154,-0.051601316788510494,0.14069725183411344,0.14762370560190682
0,2.0,5000.0,100.0,10.0,0.014710591285473447,0.31367229372143957,0.2851720601102264,0.2740260264579719
0,2.0,5000.0,200.0,2.0,-0.0919973441127535,-0.21656278411157937,0.22065925647787113,0.1928260853051358
0,2.0,5000.0,200.0,5.0,0.6772167599119039,-0.42105544516383736,0.056796821764933586,0.08630540954854937
0,2.0,5000.0,200.0,10.0,-0.0549417281071579,0.012757275897143011,0.0945507008262589,0.11445546027092997
0,2.0,5000.0,1000.0,2.0,-0.3002809693439663,0.5060629610475974,0.02729945388975454,0.015181034256833157
0,2.0,5000.0,1000.0,5.0,-0.1477502989153734,0.4285635406327435,0.11188760133882271,0.11296734860051004
0,2.0,5000.0,1000.0,10.0,0.2678291846953116,-0.13912775280295323,0.0857723997680249,0.1000011681994655
0,5.0,100.0,20.0,2.0,1.9680662936423066,0.5186718953726508,1.4665510654108806,2.3408470691178622
0,5.0,100.0,20.0,5.0,1.904521491230371,13.016689529489245,4.1124160602047,3.898862829477029
0,5.0,100.0,20.0,10.0,1.595668933953974,2.0921064027162486,4.031022363189125,3.8741500747630395
0,5.0,100.0,100.0,2.0,0.012712630572895706,0.27748517097537895,1.421782934186779,1.3580712734711518
0,5.0,100.0,100.0,5.0,0.3024329496308816,-0.042058069122848984,1.4648972096400321,1.501255714521135
0,5.0,100.0,100.0,10.0,2.15250836752496,0.46170384435587714,1.2591729293355365,2.0295878952620394
0,5.0,100.0,200.0,2.0,0.07615929948827613,-0.12900195517890908,1.566322601777252,1.3488750289277867
0,5.0,100.0,200.0,5.0,0.1042208975945684,0.3621975495389257,0.6243998841139952,0.695849429583219
0,5.0,100.0,200.0,10.0,-0.5121519490939459,-0.05070455648050954,1.421397287038665,1.8922533121525085
0,5.0,100.0,1000.0,2.0,0.2494809004265785,0.34869426070329274,0.0501795261636326,0.19943784187580368
0,5.0,100.0,1000.0,5.0,0.39613290710484,-0.5355504124218537,0.790818218519022,0.8541555299386627
0,5.0,100.0,1000.0,10.0,-0.06209274903778845,-0.028222421644958445,0.3784016802437875,0.4825357198238981
0,5.0,500.0,20.0,2.0,0.4713627602466595,0.010910298725105213,0.3569466888255884,1.4685698245488639
0,5.0,500.0,20.0,5.0,0.565818617872691,0.5012125515254838,1.4916852254094994,1.4172490792127432
0,5.0,500.0,20.0,10.0,1.1664934516516514,-0.2760340282705391,2.639176891859939,1.8821233257391938
0,5.0,500.0,100.0,2.0,0.3423889679228725,-0.22229452487303192,0.767530169754358,0.6458789540016068
0,5.0,500.0,100.0,5.0,-0.04790019014941011,0.001870612322553484,1.129213888712528,1.1410617246454546
0,5.0,500.0,100.0,10.0,0.034372159820157934,0.06982186420998247,1.0148577524958649,0.8181643158629652
0,5.0,500.0,200.0,2.0,0.9160211491689834,-0.19311441921546912,0.6802447591635101,0.41308000069158435
0,5.0,500.0,200.0,5.0,-0.05997104616554652,-0.21392777591783194,0.6457574009906912,0.8027306823774292
0,5.0,500.0,200.0,10.0,0.06811484424401384,-0.17228597671667759,0.7995911466666467,0.6241435228413033
0,5.0,500.0,1000.0,2.0,-0.1303938671150534,0.09592935637466887,0.07079729074788828,0.057160900295626454
0,5.0,500.0,1000.0,5.0,0.3812019638783976,-0.3774540478905399,0.258469371090931,0.3084042932616112
0,5.0,500.0,1000.0,10.0,-0.26458515634967084,0.6937021033524439,0.17013621808787377,0.10394430855387646
0,5.0,1000.0,20.0,2.0,-0.12206336513201764,-0.11931129640912862,1.5247160530893966,1.7497369970562142
0,5.0,1000.0,20.0,5.0,0.2619949508619812,0.24162056027193748,1.3252968941623904,1.2462127710249356
0,5.0,1000.0,20.0,10.0,0.1199868190858338,0.07464870749532718,1.2790175035783735,1.6146832600855898
0,5.0,1000.0,100.0,2.0,-0.21726535310237272,0.6050602840544208,0.34001613920589974,0.5023091392491812
0,5.0,1000.0,100.0,5.0,0.2992677601280698,-0.06846970202616806,0.491306195869025,0.4228505202353126
0,5.0,1000.0,100.0,10.0,0.19871329148307493,-0.16570952045900603,0.45702392327403585,0.6520983447869033
0,5.0,1000.0,200.0,2.0,0.4250570664674062,0.18938586924480474,0.1596145127928358,0.2616000257152945
0,5.0,1000.0,200.0,5.0,-0.07413138348260837,0.20311049731488293,0.3418604967915519,0.40017960024857463
0,5.0,1000.0,200.0,10.0,-0.025951890615063394,0.47472430489954415,0.12828385659175892,0.2623532334633152
0,5.0,1000.0,1000.0,2.0,-0.3013057756065922,0.5196518749609415,0.11323467365784365,0.08668481043330213
0,5.0,1000.0,1000.0,5.0,0.4683877874191606,-0.16276933809842373,0.21608700618269597,0.18523880074988813
0,5.0,1000.0,1000.0,10.0,-0.16245617787429287,0.22502882777466188,0.19868364406854117,0.1416256747696989
0,5.0,5000.0,20.0,2.0,2.0318196650100884,-0.5817433164307224,0.3263246257689837,0.14262960501897812
0,5.0,5000.0,20.0,5.0,-0.2859590083393625,-0.21548517504084586,0.49498590811818777,0.4079760822858095
0,5.0,5000.0,20.0,10.0,-0.3008898871611715,0.11113903477779506,0.6543922924441501,0.8066271854157995
0,5.0,5000.0,100.0,2.0,-0.019877334694688067,-0.14972593288527167,0.3433524654962714,0.42494731112155204
0,5.0,5000.0,100.0,5.0,-0.11815388577953642,0.3950897615673107,0.12960870423533202,0.13338783958173764
0,5.0,5000.0,100.0,10.0,0.539604714671854,-0.4252216516628798,0.22629900965989416,0.30243505249490477
0,5.0,5000.0,200.0,2.0,0.9383502959283767,-0.44264172302374266,0.2394955810346122,0.2721871615764769
0,5.0,5000.0,200.0,5.0,-0.08556295980344937,0.01954281445466039,0.12608691092211546,0.1543099136792633
0,5.0,5000.0,200.0,10.0,0.0840172908093219,-0.051337728394059035,0.11367162746668756,0.13340357443804698
0,5.0,5000.0,1000.0,2.0,0.44516940152885437,-0.3414823852786849,0.056061235520620666,0.057230370695125585
0,5.0,5000.0,1000.0,5.0,0.53208686113355,-0.3277166833647437,0.06351287350759309,0.07632798158446194
0,5.0,5000.0,1000.0,10.0,0.012737507326704362,-0.12424055754802917,0.212836655124544,0.1881634743327754
