,0
0,0.9932243727686151
1,0.9909548439001821
2,1.038321880813141
3,1.044238247477721
4,1.0389264494854975
5,1.0612165879410667
6,1.0724021074263166
7,1.0976403341043968
8,1.096375892760433
9,1.0791114705717997
10,1.0746640724658836
11,1.0723839026789277
12,1.070034028366889
13,1.061643829904922
14,1.0578901416395057
15,1.0603851748860582
16,1.0628232750878739
17,1.0584264895622455
18,1.0639856733344484
19,1.0601062111631634
20,1.066784135344114
21,1.086578270968788
22,1.0926545578107958
23,1.1161101615390103
24,1.1051035602556254
25,1.1021730789751922
26,1.1013610094188657
27,1.1186373677313897
28,1.1228508130099915
29,1.1413616818191405
30,1.1473344356700572
31,1.1685962287515244
32,1.1453099696388789
33,1.1591729707856544
34,1.1821586690228847
35,1.1875751190557384
36,1.1669197446077628
37,1.1537451900059088
38,1.180006533183097
39,1.1580860782243667
40,1.1651049175920087
41,1.1809400226811404
42,1.1887326431606315
43,1.2050203474709609
44,1.2099475310393097
45,1.2116823434579989
46,1.197182362005147
47,1.2026720373178112
48,1.222415424772871
49,1.2393737474064312
50,1.2304485268200254
51,1.2172369816110318
52,1.1989644618241118
53,1.1988487338494724
54,1.2097828261819974
55,1.193191449642127
56,1.1979697422060522
57,1.2033854788732636
58,1.2194302102381909
59,1.2311127727854834
60,1.2143726281031393
61,1.2385971780885459
62,1.241405107196549
63,1.250453359628409
64,1.2350531388544357
65,1.2026042496804283
66,1.2027003283336684
67,1.2175102238648288
68,1.2435360927606174
69,1.2519262998803316
70,1.2156740681979077
71,1.231715061015888
72,1.2340302305085715
73,1.2514100971607132
74,1.2825977659549674
75,1.2770445196300526
76,1.257636378249756
77,1.2681250273684863
78,1.2884209724121394
79,1.2561129684557328
80,1.237627954394794
81,1.2289631219868253
82,1.234298036275338
83,1.2371945342696624
84,1.2200540461557017
85,1.2324535507989776
86,1.2135970531877938
87,1.2376713372610857
88,1.2346577648808772
89,1.2297143200894878
90,1.237158475500441
91,1.2316216565599196
92,1.2301050422119164
93,1.2025138971843756
94,1.22696723430204
95,1.2368849058630231
96,1.2399005973109958
97,1.2225812633490474
98,1.246448113381824
99,1.2187907630296524
100,1.2344634915701036
101,1.2448991812170354
102,1.2401861558608513
103,1.2392373598157802
104,1.2263503755094183
105,1.2268724237029462
106,1.230586894842879
107,1.2269229361543608
108,1.2233194676287336
109,1.2346095305729778
110,1.2604373814724676
111,1.2678844732288361
112,1.2488120974038348
113,1.2652217105932413
114,1.2518698136495896
115,1.25240569106946
116,1.2608629963881361
117,1.2807698610545815
118,1.2908611189171615
119,1.3110994426076226
120,1.2948936866497613
121,1.2995158264200066
122,1.3008053841843659
123,1.2982466599590428
124,1.2983835887423114
125,1.2965043343096598
126,1.3140307937661675
127,1.3064901846187253
128,1.3029046748777604
129,1.2958469134095074
130,1.2668369656351104
131,1.290072068288622
132,1.2998823402291453
133,1.2909905799809063
134,1.2700585803153135
135,1.2770144597571098
136,1.285494264554026
137,1.2719126976093333
138,1.259239126321278
139,1.2930024463041103
140,1.3247736698050856
141,1.3185439296405492
142,1.2998126663096041
143,1.2857343264863481
144,1.2853932906479402
145,1.2704328867762122
146,1.263533230726458
147,1.2499147567421491
148,1.2359176766761015
149,1.2302300931376726
150,1.2436685164731216
151,1.2638554273449805
152,1.2659244391211615
153,1.2681746480346812
154,1.281236254823314
155,1.295933522170723
156,1.2848201221090543
157,1.2851167410582807
158,1.2725889561830341
159,1.279678051886907
160,1.303676147205422
161,1.308723623908833
162,1.2915500703873708
163,1.2966840135411173
164,1.3189175144484713
165,1.2768487159772843
166,1.2503528617757822
167,1.2602391154591854
168,1.2381578986622652
169,1.2292925385653426
170,1.2255066017683518
171,1.2339114590251488
172,1.2313541057945392
173,1.2537683830062223
174,1.2737556970115058
175,1.2874195054402464
176,1.3288905898846646
177,1.3345061063318353
178,1.3348327631891952
179,1.3241512030779443
180,1.3139641605065722
181,1.2903658701298268
182,1.3066199867325983
183,1.3257779635441382
184,1.3233652129890674
185,1.3382150335027323
186,1.3343748158880762
187,1.3139128415739294
188,1.3049745454313673
189,1.2834429579682527
190,1.2561220173019993
191,1.2681347035524888
192,1.2675026498498074
193,1.266949469314056
194,1.2601073971461563
195,1.2662078022303573
196,1.2886172871013282
197,1.255961046470584
198,1.2491160265669659
199,1.2196407507090794
200,1.209920866579887
201,1.2265828913271326
202,1.2030529690915046
203,1.2066319881203074
204,1.1953503975363269
205,1.1989360639767594
206,1.196746286050426
207,1.2025835052342235
208,1.2241905256293897
209,1.2237651109031082
210,1.226140307077024
211,1.212838243766135
212,1.2326779438561348
213,1.2208338281423543
214,1.1840722451329535
215,1.2044289747470471
216,1.2146071267350322
217,1.2270189724247935
218,1.251323085809207
219,1.2598130909243321
220,1.2704646648561833
221,1.2636226709053076
222,1.2572089384120064
223,1.2356205362013268
224,1.2249662833930213
225,1.2213447737483363
226,1.2223270889048037
227,1.2281335727372764
228,1.2089830611941375
229,1.2276300103347966
230,1.250060449115115
231,1.2802642987393393
232,1.274869735842582
233,1.2755876719800097
234,1.2851974466951364
235,1.2916722152023583
236,1.276579148111988
237,1.2619073632998388
238,1.2604695830632422
239,1.2696028926993461
240,1.2602843179403498
241,1.2899380779102196
242,1.2666726776588952
243,1.2668196413358417
244,1.2587459188993084
245,1.2916015532633063
246,1.320052106313599
247,1.3122240195908084
248,1.3016740089596572
249,1.3055838068731607
250,1.285945640272492
251,1.2981621669205399
252,1.3055000049943424
253,1.3076659284800174
254,1.3070860654651681
255,1.316573955102655
256,1.3401020108893578
257,1.319045773965207
258,1.300499436098741
259,1.2931347431297346
260,1.3043210465195554
261,1.2926129473972203
262,1.284211803958298
263,1.289658182932603
264,1.3117558950652797
265,1.292310968716952
266,1.26271775018013
267,1.2532122289035588
268,1.2511148861803305
269,1.2647036433279206
270,1.293611218680078
271,1.268536743957237
272,1.29023397301796
273,1.2772054768235872
274,1.2842809215153679
275,1.2930927089895061
276,1.2866762336073077
277,1.279843154498729
278,1.2612172953396057
279,1.26956577399098
280,1.2493384980556212
281,1.2603060789759835
282,1.279655692459295
283,1.2836104019802668
284,1.288318821502484
285,1.2797817405650025
286,1.2630782170095307
287,1.2478833115621668
288,1.227960130521117
289,1.2428140969488612
290,1.2461552953799468
291,1.2365188183689886
292,1.2598932879182085
293,1.231899470418598
294,1.2389493315854572
295,1.2262690162936025
296,1.240971169490281
297,1.23326140288297
298,1.2197528801913315
299,1.2082653019042038
300,1.1885107967472426
301,1.203205484353874
302,1.2062607996862686
303,1.1897353410525484
304,1.2127030218123556
305,1.2112066659814709
306,1.1966624947600906
307,1.2199141146360684
308,1.2052029996147955
309,1.214468462370857
310,1.217506016145318
311,1.2419260224444177
312,1.2431652166438345
313,1.2224489445653717
314,1.2046422301234947
315,1.2233279062980196
316,1.210303608016453
317,1.2283366719738111
318,1.216603846767337
319,1.2144381038495728
320,1.2120482311925955
321,1.1933531419462309
322,1.184671510002356
323,1.1672445711326187
324,1.168808090632824
325,1.164377427236877
326,1.1850379281314385
327,1.1862446128506412
328,1.165996635875389
329,1.1663454297307785
330,1.1563050532774257
331,1.1713881389761378
332,1.1455557977456394
333,1.152447343112659
334,1.1744713181656121
335,1.1594825567504654
336,1.1437028492420884
337,1.128333324698344
338,1.1215569579475466
339,1.134010869738375
340,1.1214657733201687
341,1.099950541206426
342,1.1083091617105552
343,1.113053139214875
344,1.140075515071827
345,1.1194512449810963
346,1.1083409722862518
347,1.1021471000474545
348,1.090476093698022
349,1.0672155685974205
350,1.050575202422224
351,1.0617745827787868
352,1.0523803927569382
353,1.0480238962478001
354,1.0261776072292912
355,1.018149567975159
356,1.0243024712216788
357,1.0543820343253947
358,1.071709193128109
359,1.0782330034380856
360,1.074452416433962
361,1.073741824044909
362,1.0778943684906435
363,1.047888412420241
364,1.0537694077906372
365,1.0513104515611416
366,1.053960342791812
367,1.0561427431990202
368,1.053644988414823
369,1.0328829985049244
370,1.0467361254988754
371,1.0542620664541866
372,1.0817141411765134
373,1.0741959595480324
374,1.0720266597720087
375,1.0977850739467896
376,1.1066594428366818
377,1.1285947883366374
378,1.1432851606464467
379,1.129704841508791
380,1.1313190948018461
381,1.1342837306225229
382,1.1479853801115534
383,1.1176273479350582
384,1.1001155569423613
385,1.1092274532911668
386,1.0906964200228306
387,1.1067450860912516
388,1.106612057653221
389,1.0968774738305282
390,1.099601406076828
391,1.0989768819886687
392,1.0903288113601763
393,1.0840980345166376
394,1.0702807779318446
395,1.078664257951985
396,1.069902148157837
397,1.0674739893203045
398,1.0677704024335655
399,1.0728783967878106
400,1.067287915398481
401,1.0709116279298256
402,1.0534322108464773
403,1.0483086986432857
404,1.052643532249629
405,1.0483599277091116
406,1.039234196279312
407,1.02556376616429
408,1.021622734466381
409,1.0161524207578292
410,1.0030260252405208
411,1.0234280543311918
412,1.0516043176719723
413,1.0305789930763116
414,1.0190249031819036
415,1.0240858932733898
416,1.0049196343044502
417,1.0006928124155823
418,0.9848951983198242
419,0.981341008279882
420,0.9965865412630998
421,0.9918131532615301
422,0.9861481483028545
